"MGI_Symbol"	"SRR8867570"	"SRR8867571"	"SRR8867572"	"SRR12554274"	"SRR12554275"	"SRR12554276"	"SRR3143894"	"SRR3143897"	"SRR11294120"	"SRR11294121"	"SRR11294122"	"SRR5809472"	"SRR5809473"	"SRR5809474"	"SRR5809475"	"SRR6910771"	"SRR6910772"	"SRR6910773"	"SRR5809464"	"SRR5809465"	"SRR5809466"	"SRR5809467"	"SRR6910774"	"SRR6910775"	"SRR6910776"	"SRR12554271"	"SRR12554272"	"SRR12554273"
"Gria3"	11.768673271694	3.66945960066908	2.95580308895813	8.47365574503157	3.23113800620897	6.09949884174336	6.70084235496485	3.34094350680055	4.89477636760967	7.04862141895001	4.97353722013576	0	19.183437188104	30.4496084150974	0	7.52756021323067	3.09533579154724	5.41942315306451	0	0	0	0	3.62296868327018	3.28356306012145	0.940923220277571	0.374150670860309	0.339856568819257	0.374529172885024
"Ptgir"	12.388077128099	12.4761626422749	4.92633848159689	6.23062922428792	12.6308122060896	10.0031781004591	1523.00574096415	1621.84246457907	2775.82767807144	1239.55042381821	1785.00250830673	615.637673506772	690.603738771745	1390.53211762278	3222.52216170355	1342.16398601903	921.636231933192	826.849132496127	518.60879404581	252.568667300196	477.162415583558	420.758171261356	548.879755515432	630.444107543318	514.685001491832	454.218914424415	515.562414898812	402.993390024286
"Ctsk"	2066.33126496691	1649.78903646082	1417.80021500358	1412.10980739261	1874.64752323869	1911.82691695604	321.321345307124	277.669527009646	347.039644463525	333.802571483132	314.32755231258	263.844717217188	166.256455630235	162.397911547186	280.567849899563	235.61263467412	270.841881760384	204.38967320129	84.09872335878	75.2332200468668	78.6531454258612	120.216620360388	76.9880845194913	96.0442195085524	73.3920111816506	93.163517044217	99.9178312328615	65.5426052548792
"Cbfb"	610.73220241528	481.433099607783	282.771828843661	447.857628641816	450.303142138032	527.484659833966	57.1167038827956	63.1067106840104	25.9423147483312	94.6529161973287	71.618935969955	60.8872424347357	383.66874376208	30.4496084150974	32.0648971313786	121.946475454337	53.39454240419	74.3235175277418	18.68860519084	5.37380143191905	10.4870860567815	6.01083101801938	0	18.8804875956983	15.9956947447187	0	11.894979908674	0.374529172885024
"Itgbl1"	489.32904655991	283.282281171653	647.320876481831	615.336942190675	370.405911439046	383.292507215153	17.5498252153841	39.3488901912065	20.0685831071996	33.2292152607643	12.4338430503394	0	25.5779162508054	10.1498694716991	24.0486728485339	5.26929214926147	4.64300368732087	15.4840661516129	4.67215129771	0	5.24354302839075	0	3.62296868327018	5.74623535521254	1.88184644055514	0	2.71885255055405	4.11982090173526
"Mid1ip1"	20.4403272613633	37.4284879268246	37.4401724601364	29.408569938639	34.6612986120598	27.8137147183497	45.6295455599988	25.9851161640043	79.2953771552766	41.7882555552036	44.7618349812219	20.2957474782452	31.9723953135067	30.4496084150974	0	12.7968523624921	17.7981808013967	17.8066760743548	4.67215129771	0	20.974172113563	6.01083101801938	2.71722651245264	8.20890765030362	4.70461610138786	2.99320536688247	5.77756166992736	8.23964180347053
"Mthfd1l"	29.1119812510326	33.0251364060217	13.7937477484713	22.4302652074365	34.3675587933136	22.2021757839458	116.147934152724	111.735999505218	111.111423544739	118.316145246661	140.253749607828	40.5914949564905	38.366874376208	20.2997389433983	0	35.3795330021842	17.0243468535098	19.3550826895161	18.68860519084	37.6166100234334	47.1918872555167	18.0324930540581	22.6435542704386	34.4774121312752	27.2867733880496	30.6803550105453	26.8486689367213	24.3443962375266
"P2rx7"	109.015078727271	79.9942192945859	27.5874954969426	100.686968264493	66.9726786741495	62.7028480931218	38.6096154738451	34.1518669584056	28.879180568897	28.1944856758	29.343869598801	67.6524915941508	121.495102191325	81.1989557735931	64.1297942627572	96.3527707293526	63.4543837267185	84.3881605262902	0	0	26.2177151419537	0	7.24593736654036	11.4924707104251	6.586462541943	8.60546542978711	7.47684451402365	5.99246676616038
"Nectin1"	87.3359437530979	60.9130293711067	9.85267696319378	30.6546957834966	63.154061030448	74.9018457766085	2300.62254187127	2211.33338555676	2017.13734109194	2094.95098030364	2150.5574939867	54.1219932753206	51.1558325016107	10.1498694716991	0	37.6378010661534	23.9888523844911	29.4197256880645	8138.88756061082	6217.48825673035	6140.18888624557	6263.28592077619	8487.70988273122	5131.3881722048	7436.11620985365	6794.20203215235	6504.51487063175	7076.72872166253
"Ckb"	2352.495846626	2914.28481485138	4853.42867206926	3488.65391526329	3117.46069635416	2959.47683801388	24.8888430327266	27.0987639996045	23.4949265645264	20.6423912983536	27.3544547107467	47.3567441159055	0	10.1498694716991	0	22.582680639692	28.631856071812	24.000302535	23.36075648855	0	20.974172113563	0	7.24593736654036	8.20890765030362	8.46830898249814	7.48301341720618	11.2152667710355	6.36699593904541
